index_name,series_id,unique_id,ds,y
TOPIX1000,return,TOPIX1000_return,2009-05-22,-0.0065409254
TOPIX1000,return,TOPIX1000_return,2009-05-25,0.0079869868
TOPIX1000,return,TOPIX1000_return,2009-05-26,0.0007122582
TOPIX1000,return,TOPIX1000_return,2009-05-27,0.0106121361
TOPIX1000,return,TOPIX1000_return,2009-05-28,0.0029369635
TOPIX1000,return,TOPIX1000_return,2009-05-29,0.0026363587
TOPIX1000,return,TOPIX1000_return,2009-06-01,0.0164774024
TOPIX1000,return,TOPIX1000_return,2009-06-02,0.0010601868
TOPIX1000,return,TOPIX1000_return,2009-06-03,0.0009742542
TOPIX1000,return,TOPIX1000_return,2009-06-04,-0.0041791783
TOPIX1000,return,TOPIX1000_return,2009-06-05,0.0046747771
TOPIX1000,return,TOPIX1000_return,2009-06-08,0.0112943439
TOPIX1000,return,TOPIX1000_return,2009-06-09,-0.0095786924
TOPIX1000,return,TOPIX1000_return,2009-06-10,0.020567597
TOPIX1000,return,TOPIX1000_return,2009-06-11,0.0038588667
TOPIX1000,return,TOPIX1000_return,2009-06-12,0.010656263
TOPIX1000,return,TOPIX1000_return,2009-06-15,-0.0043337721
TOPIX1000,return,TOPIX1000_return,2009-06-16,-0.034032468
TOPIX1000,return,TOPIX1000_return,2009-06-17,0.0089270671
TOPIX1000,return,TOPIX1000_return,2009-06-18,-0.0131566731
TOPIX1000,return,TOPIX1000_return,2009-06-19,0.0091792282
TOPIX1000,return,TOPIX1000_return,2009-06-22,0.0035452407
TOPIX1000,return,TOPIX1000_return,2009-06-23,-0.0227426834
TOPIX1000,return,TOPIX1000_return,2009-06-24,0.0007961676
TOPIX1000,return,TOPIX1000_return,2009-06-25,0.01977025
TOPIX1000,return,TOPIX1000_return,2009-06-26,0.0076325324
TOPIX1000,return,TOPIX1000_return,2009-06-29,-0.0126278468
TOPIX1000,return,TOPIX1000_return,2009-06-30,0.0159787971
TOPIX1000,return,TOPIX1000_return,2009-07-01,-0.0016894415
TOPIX1000,return,TOPIX1000_return,2009-07-02,-0.0047325848
TOPIX1000,return,TOPIX1000_return,2009-07-03,-0.0037264218
TOPIX1000,return,TOPIX1000_return,2009-07-06,-0.0091557876
TOPIX1000,return,TOPIX1000_return,2009-07-07,-0.0037536342
TOPIX1000,return,TOPIX1000_return,2009-07-08,-0.022820079
TOPIX1000,return,TOPIX1000_return,2009-07-09,-0.0166025359
TOPIX1000,return,TOPIX1000_return,2009-07-10,-0.0017769796
TOPIX1000,return,TOPIX1000_return,2009-07-13,-0.0227990814
TOPIX1000,return,TOPIX1000_return,2009-07-14,0.0191975453
TOPIX1000,return,TOPIX1000_return,2009-07-15,-0.0025248974
TOPIX1000,return,TOPIX1000_return,2009-07-16,0.0068771671
TOPIX1000,return,TOPIX1000_return,2009-07-17,0.0069301313
TOPIX1000,return,TOPIX1000_return,2009-07-21,0.0267343693
TOPIX1000,return,TOPIX1000_return,2009-07-22,0.0054552082
TOPIX1000,return,TOPIX1000_return,2009-07-23,0.0024610742
TOPIX1000,return,TOPIX1000_return,2009-07-24,0.0130557371
TOPIX1000,return,TOPIX1000_return,2009-07-27,0.0085246048
TOPIX1000,return,TOPIX1000_return,2009-07-28,0.0022985825
TOPIX1000,return,TOPIX1000_return,2009-07-29,0.0002086961
TOPIX1000,return,TOPIX1000_return,2009-07-30,0.0072538119
TOPIX1000,return,TOPIX1000_return,2009-07-31,0.0146203948
TOPIX1000,return,TOPIX1000_return,2009-08-03,0.0076689523
TOPIX1000,return,TOPIX1000_return,2009-08-04,0.0015281957
TOPIX1000,return,TOPIX1000_return,2009-08-05,-0.010084762
TOPIX1000,return,TOPIX1000_return,2009-08-06,0.008584783
TOPIX1000,return,TOPIX1000_return,2009-08-07,-0.0007590787
TOPIX1000,return,TOPIX1000_return,2009-08-10,0.0131775898
TOPIX1000,return,TOPIX1000_return,2009-08-11,0.0042987108
TOPIX1000,return,TOPIX1000_return,2009-08-12,-0.0141548989
TOPIX1000,return,TOPIX1000_return,2009-08-13,0.0088855298
TOPIX1000,return,TOPIX1000_return,2009-08-14,0.0053342344
TOPIX1000,return,TOPIX1000_return,2009-08-17,-0.0249971578
TOPIX1000,return,TOPIX1000_return,2009-08-18,0.0001121707
TOPIX1000,return,TOPIX1000_return,2009-08-19,-0.0068401053
