index_name,series_id,unique_id,ds,y,lag_1,lag_2,lag_5,vol_5,vol_21,mom_5,mom_21
RUSSELL1000,return,RUSSELL1000_return,2009-01-07,-0.0295802143,0.0092391154,-0.0035264783,,0.017834254044191398,,0.012470899866666668,
RUSSELL1000,return,RUSSELL1000_return,2009-01-08,0.0044201724,-0.0295802143,0.0092391154,,0.025575661520405423,,0.0019581213249999993,
RUSSELL1000,return,RUSSELL1000_return,2009-01-09,-0.0212207262,0.0044201724,-0.0295802143,0.0317000625,0.022176523301769863,,0.0024505315399999993,
RUSSELL1000,return,RUSSELL1000_return,2009-01-12,-0.0237497402,-0.0212207262,0.0044201724,-0.0035264783,0.01667231349650723,,-0.008133626200000002,
RUSSELL1000,return,RUSSELL1000_return,2009-01-13,0.002697722,-0.0237497402,-0.0212207262,0.0092391154,0.017696788477126236,,-0.012178278580000002,
RUSSELL1000,return,RUSSELL1000_return,2009-01-14,-0.0340852077,0.002697722,-0.0237497402,-0.0295802143,0.015864567063549977,,-0.01348655726,
RUSSELL1000,return,RUSSELL1000_return,2009-01-15,0.0028589893,-0.0340852077,0.002697722,0.0044201724,0.01708784335702476,,-0.014387555940000001,
RUSSELL1000,return,RUSSELL1000_return,2009-01-16,0.0083994646,0.0028589893,-0.0340852077,-0.0212207262,0.016667354178502982,0.02058513370290968,-0.014699792560000003,-0.006124630510000001
RUSSELL1000,return,RUSSELL1000_return,2009-01-20,-0.0537628049,0.0083994646,0.0028589893,-0.0237497402,0.018886402161657802,0.02001374950440172,-0.0087757544,-0.004804258227272728
RUSSELL1000,return,RUSSELL1000_return,2009-01-21,0.0435353212,-0.0537628049,0.0083994646,0.002697722,0.027596387435048275,0.023746188294180733,-0.014778367340000001,-0.008884137116666668
RUSSELL1000,return,RUSSELL1000_return,2009-01-22,-0.0161676812,0.0435353212,-0.0537628049,-0.0340852077,0.038104373333968045,0.026986302780232643,-0.006610847500000001,-0.0048518710923076925
RUSSELL1000,return,RUSSELL1000_return,2009-01-23,0.0060342468,-0.0161676812,0.0435353212,0.0028589893,0.03563726322086241,0.026103385806294146,-0.0030273422000000006,-0.0056601432428571435
RUSSELL1000,return,RUSSELL1000_return,2009-01-26,0.0052841321,0.0060342468,-0.0161676812,0.0083994646,0.03579631672438834,0.025334433463862993,-0.0023922907000000007,-0.004880517240000001
RUSSELL1000,return,RUSSELL1000_return,2009-01-27,0.0108977779,0.0052841321,0.0060342468,-0.0537628049,0.035588023228900575,0.024606952750907553,-0.0030153572000000007,-0.004245226656250001
RUSSELL1000,return,RUSSELL1000_return,2009-01-28,0.0340431407,0.0108977779,0.0052841321,0.0435353212,0.021494785856124236,0.02410699274097312,0.009916759360000001,-0.003354461682352942
RUSSELL1000,return,RUSSELL1000_return,2009-01-29,-0.0331630672,0.0340431407,0.0108977779,-0.0161676812,0.01790221742024458,0.024993217106184608,0.008018323260000002,-0.001276817105555556
RUSSELL1000,return,RUSSELL1000_return,2009-01-30,-0.022812563,-0.0331630672,0.0340431407,0.0060342468,0.024161607115778094,0.025366706096338985,0.004619246060000001,-0.0029550407947368427
RUSSELL1000,return,RUSSELL1000_return,2009-02-02,-0.0002480936,-0.022812563,-0.0331630672,0.0052841321,0.027014844381152266,0.025086231425908597,-0.001150115899999999,-0.003947916905
RUSSELL1000,return,RUSSELL1000_return,2009-02-03,0.015161893,-0.0002480936,-0.022812563,0.0108977779,0.026797855606449844,0.024464359776948403,-0.002256561039999999,-0.003771734842857143
RUSSELL1000,return,RUSSELL1000_return,2009-02-04,-0.0058726939,0.015161893,-0.0002480936,0.0340431407,0.027382611421733156,0.02351308944688539,-0.0014037380199999998,-0.004559266723809525
RUSSELL1000,return,RUSSELL1000_return,2009-02-05,0.0165936524,-0.0058726939,0.015161893,-0.0331630672,0.01900042906356729,0.02351351081386589,-0.009386904940000001,-0.004670991276190477
RUSSELL1000,return,RUSSELL1000_return,2009-02-06,0.0282015495,0.0165936524,-0.0058726939,-0.022812563,0.016268085760248383,0.02378426175218384,0.0005644389799999989,-0.004320775228571429
RUSSELL1000,return,RUSSELL1000_return,2009-02-09,0.0012982006,0.0282015495,0.0165936524,-0.0002480936,0.013742636016249072,0.02405670097553967,0.010767261479999998,-0.001569262666666667
RUSSELL1000,return,RUSSELL1000_return,2009-02-10,-0.0481411698,0.0012982006,0.0282015495,0.015161893,0.013446998177664956,0.024027465659896302,0.011076520319999998,-0.0017179279904761908
RUSSELL1000,return,RUSSELL1000_return,2009-02-11,0.0076749261,-0.0481411698,0.0012982006,-0.0058726939,0.02920563319465187,0.02577462933714885,-0.0015840922400000013,-0.0029998538761904768
RUSSELL1000,return,RUSSELL1000_return,2009-02-12,0.0026103144,0.0076749261,-0.0481411698,0.0165936524,0.029336435349628057,0.025419479956611354,0.0011254317599999984,-0.0015034411952380958
RUSSELL1000,return,RUSSELL1000_return,2009-02-13,-0.0095364511,0.0026103144,0.0076749261,0.0282015495,0.028135111668758435,0.02541876479530616,-0.0016712358400000015,-0.0015076034619047624
RUSSELL1000,return,RUSSELL1000_return,2009-02-17,-0.0453259468,-0.0095364511,0.0026103144,0.0012982006,0.022643900965344545,0.024389277314990375,-0.009218835960000001,-0.0003386150523809527
RUSSELL1000,return,RUSSELL1000_return,2009-02-18,-0.0016369127,-0.0453259468,-0.0095364511,-0.0481411698,0.026501595115981273,0.02626767116305145,-0.018543665440000003,-0.0026331358190476196
