unique_id,model,mae,rmse,directional_accuracy,n_predictions
RUSSELL1000_return,TimeGPT,0.009862576525360845,0.013169579241463338,0.5143953934740882,521
RUSSELL1000_return,FEDformer,0.009453905210419096,0.012642193341520853,0.5489443378119002,521
RUSSELL1000_return,XGBoost,0.009327162549974281,0.012437607835799822,0.5316698656429942,521
RUSSELL1000_return,ZeroBaseline,0.009306326216698657,0.012424645030655693,,521
RUSSELL1000_return,LastReturnBaseline,0.013359157523608447,0.017691241089817664,0.5143953934740882,521
TOPIX1000_return,TimeGPT,0.008452693540468875,0.011045996102365768,0.5,498
TOPIX1000_return,FEDformer,0.008087982885466406,0.010501849893522146,0.4979919678714859,498
TOPIX1000_return,XGBoost,0.008135496889835342,0.010572695708874704,0.4919678714859438,498
TOPIX1000_return,ZeroBaseline,0.00791575917871486,0.010282554296426412,,498
TOPIX1000_return,LastReturnBaseline,0.011639571212048193,0.015073101987546448,0.4939759036144578,498
