unique_id,model,baseline,mae_model,mae_baseline,median_diff,p_value_one_sided
RUSSELL1000_return,TimeGPT,ZeroBaseline,0.009862576525360845,0.009306326216698657,0.0003816456000000001,0.9996766827545799
RUSSELL1000_return,TimeGPT,LastReturnBaseline,0.009862576525360845,0.013359157523608447,-0.002496223399999999,8.478075724991119e-18
RUSSELL1000_return,FEDformer,ZeroBaseline,0.009453905210419096,0.009306326216698657,-9.866926120594144e-06,0.8789515753280868
RUSSELL1000_return,FEDformer,LastReturnBaseline,0.009453905210419096,0.013359157523608447,-0.0023245403746243003,1.0210624336223704e-15
RUSSELL1000_return,XGBoost,ZeroBaseline,0.009327162549974281,0.009306326216698657,-3.383996599999953e-05,0.4923996348270994
RUSSELL1000_return,XGBoost,LastReturnBaseline,0.009327162549974281,0.013359157523608447,-0.0025136104999999996,8.936685071674732e-18
TOPIX1000_return,TimeGPT,ZeroBaseline,0.008452693540468875,0.00791575917871486,0.00042085872999999977,0.9998318617098517
TOPIX1000_return,TimeGPT,LastReturnBaseline,0.008452693540468875,0.011639571212048193,-0.0023805198,1.5287485327811022e-19
TOPIX1000_return,FEDformer,ZeroBaseline,0.008087982885466406,0.00791575917871486,0.00015433177473480014,0.975454728271822
TOPIX1000_return,FEDformer,LastReturnBaseline,0.008087982885466406,0.011639571212048193,-0.0026701692490882,9.173410941935092e-18
TOPIX1000_return,XGBoost,ZeroBaseline,0.008135496889835342,0.00791575917871486,0.00013310635500000034,0.9951615905140947
TOPIX1000_return,XGBoost,LastReturnBaseline,0.008135496889835342,0.011639571212048193,-0.0025525326,4.761593169717641e-19
